payment_amount,fine_amount,amount_due,plate,interest_amount,issuing_agency,violation,summons_number,violation_time,penalty_amount,precinct,judgment_entry_date,reduction_amount,violation_status,county,issue_date,summons_image,state,license_type
65,65,0,T640936C,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8255518654,01:54P,0,106,,0,HEARING HELD-GUILTY,Q,04/11/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGhQUkZreFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMT
115,115,0,19006MG,0,TRAFFIC,NO STANDING-BUS STOP,8255523741,01:52P,10,104,,10,,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxOZW1Nd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
60,60,0,EDU2483,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8255523960,01:21P,0,112,,0,,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxOZW1zeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
92,115,0,49694ME,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255524320,05:08P,0,112,,23,HEARING HELD-GUILTY REDUCTION,Q,04/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPUkUxNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
60,60,0,FHW4134,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8255524538,01:33P,0,102,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPUkZWNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,FMJ9652,0,TRAFFIC,EXPIRED MUNI METER,8255524629,04:04P,0,102,,0,,Q,05/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPUkZsNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,JZY0410,0,TRAFFIC,CROSSWALK,8255524915,12:58P,0,102,,0,,Q,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPUkd0NFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",PA,PAS
92,115,0,42860JM,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255525452,01:28P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPVkZFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
92,115,0,42909JM,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255525592,04:22P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPVkZVMVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,GLU6957,0,TRAFFIC,EXPIRED MUNI METER,8255525658,04:51P,0,103,,0,,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPVkZreFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
60,60,0,5FDP68,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8255525660,04:56P,0,103,,0,,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPVkZreVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",MD,PAS
105,115,0,83462MH,0,TRAFFIC,NO STANDING-BUS STOP,8255525830,01:38P,0,112,,10,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPVkdkNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
115,115,0,BWL6126,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255526020,06:01P,0,102,,0,,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWtGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,45,0,62992ME,0,TRAFFIC,NO PARKING-STREET CLEANING,8255526080,12:47P,0,103,,0,,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWtFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,62606JM,0,TRAFFIC,NO STANDING-BUS STOP,8255526195,01:28P,0,103,,10,HEARING HELD-GUILTY REDUCTION,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWtVMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
92,115,0,42860JM,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255526201,01:35P,0,103,,23,HEARING HELD-GUILTY REDUCTION,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWtsM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,42860JM,0,TRAFFIC,FIRE HYDRANT,8255526286,03:55P,0,103,,10,HEARING HELD-GUILTY REDUCTION,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWtrMFRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
92,115,0,12922JB,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8255526572,05:30P,0,102,,23,HEARING HELD-GUILTY REDUCTION,Q,05/16/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYWxVelRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,33799KA,0,TRAFFIC,NO STANDING-BUS STOP,8255526780,03:05P,0,106,,10,HEARING HELD-GUILTY REDUCTION,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPYW1NMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,GLX2815,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8255527588,01:20P,0,106,,0,HEARING PENDING,Q,05/21/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNVVWWGxPZWxVMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,35,0,DPS2018,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256007126,09:51P,10,112,,0,HEARING HELD-GUILTY,Q,02/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGRPZWtWNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,AS297H,0,TRAFFIC,NO STANDING-BUS STOP,8256015688,06:58A,0,102,,0,HEARING HELD-GUILTY,Q,03/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGhPVkZrMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
75,65,0,HCZ1128,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8256018549,09:24A,10,104,,0,,Q,04/02/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGhQUkZVd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
125,115,0,HBZ7377,0,TRAFFIC,CROSSWALK,8256020106,02:58P,10,106,,0,,Q,04/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOUkVWM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,GKX3389,0,TRAFFIC,REG. STICKER-EXPIRED/MISSING,8256021433,05:13P,10,112,,10,,Q,04/27/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOVkZGNlRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
105,115,0,42411MH,0,TRAFFIC,NO STANDING-BUS STOP,8256021627,05:48P,0,104,,10,HEARING HELD-GUILTY REDUCTION,Q,04/28/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOVkZsNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
105,115,0,37875TR,0,TRAFFIC,NO STANDING-BUS STOP,8256022474,09:43A,0,105,,10,HEARING HELD-GUILTY REDUCTION,Q,05/04/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOYWxFelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,TRC
0,35,0,BTV5482,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256022851,10:20A,0,106,,35,HEARING HELD-NOT GUILTY,Q,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOYW1jeFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,HCL4629,0,TRAFFIC,FIRE HYDRANT,8256023028,03:28P,0,106,,0,,Q,05/06/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZWtGNVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,OMS
0,35,0,FHL4691,0,TRAFFIC,EXPIRED MUNI METER,8256023442,02:26P,0,104,,35,HEARING HELD-NOT GUILTY,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZWxFd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
105,115,0,AS739T,0,TRAFFIC,FIRE HYDRANT,8256023466,02:36P,0,104,,10,HEARING HELD-GUILTY REDUCTION,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZWxFeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
35,35,0,GYD5022,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256023569,04:54P,0,104,,0,,Q,05/09/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZWxVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
105,115,0,85884MD,0,TRAFFIC,NO STANDING-BUS STOP,8256023867,11:45A,0,112,,10,HEARING HELD-GUILTY REDUCTION,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZW1jeVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,COM
35,35,0,DAJ9154,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256023910,12:44P,0,112,,0,,Q,05/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxOZW10NFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,483YF5,0,TRAFFIC,EXPIRED MUNI METER,8256024227,05:31P,0,104,,0,,Q,05/13/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPUkVsNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",MA,PAS
0,35,0,GPV8258,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256024781,01:13P,0,102,,35,HEARING HELD-NOT GUILTY,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPUkdNMFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,65,0,EUS8497,0,TRAFFIC,INSP. STICKER-EXPIRED/MISSING,8256024860,03:58P,0,102,,0,HEARING PENDING,Q,05/17/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPUkdjeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
115,115,0,CVJ3240,0,TRAFFIC,NO STANDING-DAY/TIME LIMITS,8256025037,02:17P,0,106,,0,HEARING PENDING,Q,05/18/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkVGNlRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GFV2833,0,TRAFFIC,EXPIRED MUNI METER,8256025463,01:11P,0,107,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkZFeVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
,,,5NHN624,,,,1139470917,,,,,,,,05/19/2008,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSRmVrOVVVVE5OUkd0NFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",CA,PAS
35,35,0,F56FLY,0,TRAFFIC,EXPIRED MUNI METER,8256025475,01:34P,0,107,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkZFelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NJ,PAS
0,35,0,GCK3215,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256025487,01:45P,0,107,,35,HEARING HELD-NOT GUILTY,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkZFMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,EBC9023,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256025578,05:35P,0,107,,0,HEARING PENDING,Q,05/20/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkZVelQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
35,35,0,GVB6683,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8256025906,04:07P,0,104,,0,HEARING PENDING,Q,05/23/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNXFRWGxPVkd0M1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
65,35,0,GYV8422,0,TRAFFIC,EXPIRED MUNI METER,8257012117,04:25P,30,112,,0,,Q,02/25/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGhOYWtWNFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
70,60,0,FFY8235,0,TRAFFIC,NO PARKING-DAY/TIME LIMITS,8257018168,02:51P,10,103,,0,,Q,03/29/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGhQUkVVeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
45,35,0,GHM3742,0,TRAFFIC,FAIL TO DSPLY MUNI METER RECPT,8257020308,03:16P,10,107,,0,,Q,04/12/2016,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1VNTZRWGxOUkUxM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",NY,PAS
